gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Skin-Small Intestine)	pct_gene_expr	max_pct_tx_expr
VHL_IRAK2	1.816283658813182e-10	1.7809562187121237e-13	3	2	0.9998645349158132	0.5	0.5
LOC113245842_TMEM41B	1.0886609875569445e-7	0	2	2	0.9995884012315567	0.5	0.5
ZBTB7B	3.385885402538509e-6	0	2	2	0.9267962918090636	1	1
LOC113249444	4.7595607536373995e-6	1.2011802347583873e-7	3	1	0.910927337959778	1	0.75
ESYT3	0.018510956641927492	0.00302394494748859	3	1	-0.8981079032806941	1	1
METTL7A	0.005178206194666677	0.009838629007796022	3	1	0.8915914847841252	1	0.75
AVIL	5.809967658289134e-4	3.8434087893005386e-5	3	1	-0.8720353487429204	1	0.75
IRF8	2.4640312130215855e-4	1.5609746230742894e-4	3	1	0.8412998815608542	1	1
COBL	0.005419293839545143	1.605109857750062e-4	9	1	0.8398357325306471	1	1
AARS2	0.014445263858797243	0	2	2	0.8349583098672803	1	0.75
LOC113246330	0.0034007623762970416	0	2	2	0.8242305135280509	1	0.75
CRTC1	0.014660049591350732	0	2	2	-0.8196220831703539	1	1
PRDM11	0.016012932854540727	0	2	2	-0.8161125181875375	1	0.75
SLC22A3	0.01788868740632146	0.013730130933031858	5	1	0.8118647887012682	1	0.75
PCBP4	0.01940887191681815	0.02261126457919139	3	1	0.8067146601173735	1	0.75
PROSER3	0.02214526083851386	1	5	0	0.8059296873863375	1	0.75
BPIFC	0.011119025228857668	0	2	2	0.798719100335885	1	0.75
BCORL1	0.024586214637252496	0.02460395293674616	4	1	0.7936874542667174	1	0.75
JAK1_LOC113254576	0.027425005439147113	0.015051193408710603	3	1	-0.7930981761719704	1	1
THOP1	0.017259584513149642	0	2	2	-0.7914922608476075	1	1
SAMD4B	0.01788868740632146	0	2	2	0.7864117990039055	1	0.75
TSPAN8	0.0018805731172150122	2.1202064533129558e-4	3	2	0.7734933734826122	1	1
LOC113259202	0.04769489364269298	1	3	0	-0.771880553889229	1	0.5
HEY2	0.025093946684651047	0.019911659235921735	3	1	-0.7708763733844272	1	0.75
AGPAT4	0.03434243178105971	0	2	2	-0.7672160604146794	1	0.75
ANPEP	7.070723173723496e-4	6.737858995553808e-6	3	1	-0.7639692201676428	1	1
UNC5B	0.037635318949905565	0.00826120326486805	3	1	0.7638332485079117	1	0.75
KIF20B	0.005076625628095865	0.1887065962834592	3	0	-0.7580864693106552	1	0.75
ANHX	0.04829405879524039	0.13247637069870183	3	0	-0.7577331567982976	1	1
PIGR	2.85089637856251e-5	1.8784948984825145e-6	4	1	0.7542722183638905	1	1
CUNH10orf88	0.04202236115952899	0.04957103377199109	3	1	-0.7496301358143795	1	1
IGSF3	6.496349843799363e-5	7.762463108377258e-5	3	1	0.7486294307242949	1	1
LOC113261538	0.024067575278687824	0.007709563170547942	5	1	0.7473532870135489	1	1
PAPSS2	6.29712955753909e-5	2.5449806061984327e-4	6	1	0.7377872901943264	1	1
RAI1	0.00306786412737224	0	2	2	-0.7354271051094233	1	1
GIMAP7	0.016939037330051445	0.016411767705604086	4	1	0.732101256587092	1	1
TMEM268	7.028015361672539e-5	3.382069197873621e-5	4	2	0.7241914824943764	1	1
TWNK	0.004865839559200381	0.21612831512883893	4	0	0.72027847637671	1	0.75
LOC113258957	0.007877791750714465	0.07102435712343388	4	0	-0.7188585262246061	1	0.75
EPN2	0.027425005439147113	0.33089782634716314	4	0	-0.7163879660115456	1	0.75
PVR	0.0320379236400063	0.9974236330650575	3	0	0.7152831984347978	1	0.75
RASEF	0.0016348746046727866	0	2	2	-0.7094149861617107	1	1
PRDM4	0.043097035207302355	0.07710137375351406	4	0	0.704560933581894	1	1
MAP9	0.0011112414108397082	0.0020485544133039863	3	2	-0.6989076676580455	1	1
MTERF2	1.170620137059767e-4	1	4	0	0.6980507765269572	1	1
LIMK2	1.0886609875569445e-7	2.831251283867553e-10	3	2	-0.69598629056246	1	1
LOC113243522	3.0370856666235986e-4	2.136624311984974e-4	11	1	0.6948344725801698	1	0.75
ESR1	0.01453833725599271	0.004675315073923313	6	1	-0.6924921124027209	1	1
PLXNB3	0.02529870485240219	0.026630905566376775	4	1	-0.6912463079133667	1	1
LOC113247282	0.04622407612899617	0.026527421982659075	3	1	0.6911711269490322	1	1
KCNB1	0.030348662222986076	0.11567445906171547	3	0	-0.6819824550874807	1	1
LOC113246947	0.015059373414870444	0.002649007899168555	5	1	-0.6814562313477324	1	1
ZNF526	0.04622407612899617	1	5	0	0.6792568854579873	1	0.75
ZNF385A	0.04490375404540682	1	4	0	0.6791629389664665	1	0.75
ACSF3	1.6961270756140008e-5	5.273812479134253e-5	6	1	0.6785479473741473	1	1
TLK2	0.004092963865086936	0.0020395005735541144	4	1	0.6768191959033718	1	1
MAST2	0.012700238121583938	1	7	0	0.6590263872379468	1	1
GK	0.017259584513149642	0.017149931396589584	6	1	0.6575110711007626	1	1
LOC113243985_LTO1	0.034104347633489025	1	6	0	-0.6561348552889853	1	0.75
ATG4C	0.01940887191681815	0.026879786158380527	5	1	0.6522187253013705	1	1
TMCO4	0.035125027997346396	0.03262098038215754	9	1	0.6508930292086799	1	1
ABRAXAS2	0.025093946684651047	0.14973868326970557	4	0	0.6443060237551126	1	1
FITM2	0.012241780558766631	0.006334905281296252	4	1	-0.6419688682279212	1	1
FGF1	0.00626899807519012	1	6	0	0.6323733232223809	1	1
TAS1R1_ZBTB48	0.039294106342536564	1	7	0	0.6315398390801789	1	0.75
TMEM62	0.04622407612899617	1	8	0	0.6308223325658864	1	0.75
LIPN	0.004866295763422008	0.006370842106668347	7	1	-0.6286387566512284	1	1
EDIL3	0.01453833725599271	0.12137264044097064	3	0	0.6249133084459971	1	1
CA12	0.026971385542941335	0.003476863128535043	4	1	0.6237409359100285	1	1
PALM	0.030348662222986076	0.024426772991964253	4	1	0.6235926344483393	1	1
RGL1	0.0011974753251308408	0.01243287443225942	4	1	0.6130468241202093	1	1
ABCC3	0.02214526083851386	0	2	2	0.6052036502711019	1	1
LOC113243636	3.6224185903882615e-4	1	5	0	0.604096098255915	1	1
LGALS9	0.007199501145582955	0.0606433887325407	4	0	-0.5991961436070621	1	1
TPM1	6.29712955753909e-5	1.0092731625759798e-4	9	1	-0.5978214415369543	1	1
WBP1L	0.01779930992962678	1	3	0	0.5957423888812616	1	1
FAM49B	0.008099576964026228	0.07873614495000893	6	0	0.5894278432602735	1	1
ARHGAP9	0.04089510597180229	0.027600447052515936	6	1	0.5874816611440798	1	1
FAM107B	0.0014432183084269088	7.828831135130042e-5	3	2	0.5830302348239755	1	1
LOC113265231	0.04321375449481442	0.3574534620375835	5	0	0.5797079085743049	1	0.75
SPTBN2	0.008880976649386746	0.004633340269222066	3	2	0.5774454394635549	1	1
ADPRM	0.029269938418472457	1	4	0	-0.5758456099114766	1	0.75
ACSL5	0.024467017902972885	1	4	0	-0.5756594988701513	1	1
IRF4	0.008176414474243915	1	3	0	-0.5709040132628722	1	1
PCDH7	0.004777525121780169	1.3851915474357595e-4	3	2	0.570707574741734	1	1
ZNF205	0.041689687524129264	0.14778151942554807	4	0	0.5702427991538319	1	1
PDZRN3	4.280634035549377e-5	0	2	2	0.5669553834439272	1	1
PHRF1	1.6966336808540215e-5	9.803239214509877e-7	4	2	-0.5664546486110661	1	1
KCTD18	0.021529980290230767	0.9415619502818746	5	0	-0.5661674214446446	1	1
P4HA2	0.01850491476518637	0.7879388215222588	11	0	0.5653871743379941	1	1
LBR	0.0124746486621635	0.0659772121512393	9	0	-0.5609923754230168	1	1
DHRS3	3.762270382248992e-5	9.064469062800089e-4	4	1	0.5604730735895354	1	1
DOCK2	0.04321375449481442	0.06793529691786074	3	0	-0.5604317388950397	1	1
ZCCHC8	0.003733345412567039	0.19223403930249017	5	0	-0.5583102714264355	1	1
REPIN1	0.0249938929744559	0.03880388895435218	4	1	-0.5552437445237348	1	1
MYO7B	1.7880550795996352e-5	0.0036978182778583993	4	1	-0.5516312481183867	1	1
PHKB	0.0033405652058263384	5.779517720551689e-4	9	1	0.5514672890541248	1	1
DCUN1D3	0.017259584513149642	0.454354444021214	5	0	0.5489332553618594	1	1
SCML1	0.029482836911352447	1	4	0	-0.5455838364637299	1	1
MACF1	0.0018805731172150122	3.1969218942249034e-5	7	1	0.5454327591774408	1	1
HPGDS	0.04855505449509311	0.36602250115652346	3	0	0.5438608786088358	1	1
SUV39H1	0.02697351908506459	0.005487984101860045	3	1	-0.5398113292035088	1	1
GTF2IRD1	0.0021428954720664347	0.002784857124470162	3	1	0.539311610417797	1	1
KREMEN1	0.003159100272211376	1.4685395209041306e-4	3	1	0.5372799242591063	1	1
CSGALNACT1	0.0032503102838971807	6.917617665458532e-4	3	2	-0.5364576911264627	1	1
RNF34	0.016383708543772312	1	4	0	0.5332977967800653	1	1
MAP2	0.026409970430865723	1	5	0	-0.5328003172502678	1	1
FAM219A	0.00447829752043175	0.020185420329085175	3	2	0.5291936500975436	1	1
RIN2	3.555585908963957e-5	1.7829300579685117e-4	9	1	0.5274772939232524	1	1
SH3TC2	0.04853365390295697	0.142315574060249	5	0	-0.5262645722712735	1	1
CDAN1	0.009225747546269182	1	8	0	-0.5261389323472708	1	1
ZBTB49	0.037355091903433946	1	8	0	-0.5257117080500451	1	1
BMP5	0.025901163555240234	0.09495716953091175	4	0	0.5215726039039971	1	1
SH3D19	4.742217669929245e-5	0.005648164741097036	6	1	0.5208338161659635	1	1
HDAC4	9.600619310539258e-4	0.028975928821900126	5	1	0.5193165814174162	1	1
PARM1	0.038712228847876486	1	3	0	-0.5145181732411437	1	1
SLC39A14	0.046485241008821336	1	10	0	0.5127413844013909	1	1
LOC113247193	0.03267583710365981	1	3	0	0.5119867187048572	1	1
TASP1	0.019838408946847592	1	3	0	0.5080430974828692	1	1
OSBPL6	4.349061620260064e-6	1	7	0	-0.507912816364755	1	0.5
ATP9A	0.017120574809574945	0.2723633174480401	4	0	-0.5048838781433679	1	1
RPS24	3.3529723228519494e-9	4.0413902786094406e-11	3	3	-0.5034100322790621	1	1
PIK3CD	0.020865417291678165	1	7	0	0.49672883855524796	1	0.75
PNPO	0.0249938929744559	1	8	0	-0.4960270209812896	1	1
NEDD4L	0.0018805731172150122	1	8	0	0.4958598904579537	1	1
HERC2	0.001305257227786995	0.00818584080221838	7	1	-0.4952455101849321	1	1
SLC33A1	6.376069528048831e-4	0.8965487633100001	5	0	-0.493900550895881	1	1
PROM2	0.005836289562676594	0.4141768218183724	4	0	-0.4930920957427648	1	1
SLC2A5	0.03462212261780745	0.11159871050432546	5	0	0.4930378421259218	1	1
ASCC2	0.0011974753251308408	0.21008184522271614	9	0	-0.49221428182825516	1	1
ADIPOQ	0.02321608431254664	0.4935616057221912	6	0	-0.49200288717963453	1	1
STRADB	8.492918957480074e-4	1	10	0	0.4909002363676994	1	0.75
SLC25A39	4.349061620260064e-6	0.1007541068916762	4	0	-0.4900258093459045	1	1
APEX1	0.009000323538292635	0.42759084278239423	4	0	0.48968943639624923	1	1
UBA5	0.043476323460886944	0.013986614131084237	3	1	0.488966708732342	1	1
PSAP	5.2642103351647553e-17	5.355798234914514e-20	3	2	-0.48889353371677813	1	1
FUBP3	0.017120574809574945	4.413985983251321e-4	4	1	0.484222822837173	1	1
TP53I11	0.001106108475563087	0.06525798010355248	4	0	0.4840045552241521	1	1
EMID1	0.03604461254364366	0.055388992242871124	6	0	0.48272041229031504	1	1
USP3	0.014829254208545719	0.0015582921972361653	9	1	0.48136994342782224	1	1
DCN	0.02529870485240219	0.0018401435946889698	3	2	0.47340117564046225	1	1
COL16A1	0.026024297746194677	0.01900129477578802	5	1	-0.47022634325724955	1	1
F8	0.03328437646911461	1	5	0	-0.46892608745302133	1	1
IMPDH1	0.023933650066938726	5.946428826043876e-4	6	1	-0.4679177634161238	1	1
SYNRG	0.03982602140214847	0.35636142966965884	7	0	-0.46739379183468377	1	1
DCLRE1C	0.03437030394471343	1	5	0	-0.46584695760088624	1	1
KRT10	2.1141258176987076e-4	1.4134361513826004e-4	3	1	-0.4657746916190456	1	1
TMEM63A	0.037069979398249325	1	7	0	-0.46552426457734597	1	1
FES	4.554722740886852e-4	0.2828220143293523	7	0	0.46506822835552286	1	1
DHX32	0.020007786210369784	1	4	0	0.4630523865915403	1	1
TRIM2	4.7661178044760985e-4	1.1399360486394232e-5	3	1	0.46220517223365887	1	1
ROR2	0.04923035105987278	1	3	0	0.4614968479083185	1	1
ZBED6CL	0.04164259670842324	1	6	0	0.46015796631160666	1	1
GYG2	0.0062124639088703346	1	10	0	0.4588327124051818	1	0.75
PAN3	0.0013537337645041585	2.1990210869694384e-5	5	1	0.45869579286184986	1	1
HDAC7	2.361130786556308e-5	0.0011111925950541316	6	2	0.4581125994146285	1	1
METAP1	0.009061900428527383	0.008674832337827338	5	1	-0.4580424077815094	1	1
MYL9	0.0066189037141141886	0	2	2	0.45713790280905686	1	1
DEF8	0.020007786210369784	1	8	0	0.4528818899731869	1	1
DNMBP	0.0026243478998365837	2.05006553382899e-4	3	2	0.4518065007838956	1	1
ACTN1	8.848096324997628e-4	0.004315830013359396	6	1	-0.45177292876829744	1	1
KIAA0513	0.005023404745502026	0.022306740626126295	4	2	-0.45146739251605195	1	1
ZNF333	0.042745352439829486	0.16996761998133758	9	0	0.4510975919480286	1	1
RFT1	2.217397100073037e-4	0.8069042526365672	5	0	0.4500697374019482	1	1
PDE5A	1.7321850747332985e-4	0.0062133037065060515	4	1	0.44955260536809005	1	1
