gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Liver-Stomach)	pct_gene_expr	max_pct_tx_expr
LOC113262154_ASAH1	0.03737155579000868	0.02817863810678372	3	1	-0.999999252905141	0.75	0.75
KYNU	0.03479093893645933	1	3	0	0.9217851856496223	1	0.75
AKR1D1	0.046367314882053014	0.31707993178834376	3	0	0.9095544251234294	0.75	0.75
AMBP	6.908283937425095e-4	8.035086181367767e-5	4	1	0.9053475587380547	0.75	0.75
FETUB	0.005367296372117675	0.04181682701811038	3	1	0.8904085828744546	1	1
PWWP2B	0.011448309667928867	1	4	0	0.8801803631378436	1	0.75
LOC113267901	0.00615216439579538	0	2	2	0.8756754632338147	1	1
LOC113250325	0.00392119509224753	0.008291771195339304	3	1	0.8741040280396518	0.75	0.75
CLCN5	0.004016423489291355	1	3	0	-0.8735929551212915	1	0.75
CTSW	0.03969619496323079	1	3	0	0.8430677059841802	1	0.5
CD53	0.016942718542973922	1	5	0	0.8418475168117705	1	0.5
CNTFR	0.005258597787972532	0.00773225422628501	4	1	0.8389919918123452	1	1
LOC113254533	0.016731040750423903	1	4	0	0.8388449647489115	1	1
LOC113270849	0.039915428276512586	0.008740783920512658	3	1	0.833432045393733	1	1
PARP16	0.012706727651176999	1	3	0	0.8256912191695831	1	0.75
TAT	1.6329099087161908e-10	1.2195316633839685e-4	6	1	0.821383425327655	1	1
ABCC2	5.035530150672724e-14	1.036293619713073e-15	5	2	-0.8153353762307501	1	1
SERPINA5	0.04751809486062291	1	5	0	0.8081870088296955	1	0.75
BHMT	1.3020694683155042e-17	1.8153308075544476e-8	5	2	0.8057820209856488	1	1
LOC113247073	3.372672271926408e-5	1	8	0	0.8046371640007032	1	1
SLC10A1	0.029081225227346047	0.27095350248076944	4	0	0.8004582182020944	1	1
LLGL2	0.026841441876574827	0.0026585744762628945	3	1	-0.7874807176411338	1	0.75
HSPA12A	0.040635259386313016	0.009627954935709455	3	1	0.7874724965639227	1	1
HSD17B13	6.971326931416556e-5	1.1285142773552758e-6	4	2	0.7835948110979709	1	1
STAB2	0.037143626234205876	0.008808943307067437	3	1	-0.7833049101530561	1	1
CNNM4	0.04606229625948902	0.02469759190285268	4	1	0.7769163997093296	1	0.75
CCDC136	0.026188199159295825	0.054483129622205834	3	0	-0.7756525882460746	1	1
GGT7	0.04345800912807725	1	4	0	0.7647766075979422	1	0.75
RAB27A	0.004027286834492219	0.015494208784424283	5	1	0.7646529930650632	1	0.75
OTC	2.394364792709675e-13	2.3130710653917227e-7	5	2	0.7558672325802268	1	1
SERPINC1	3.433267097042467e-19	1.1356955187592566e-17	3	1	0.7505966855868377	1	1
FUK	0.013157861231219233	0.040784588843063393	4	1	0.7468015211509511	1	0.75
HDAC5	8.17146618135693e-4	0.0040397249488293065	4	1	0.7467658448167428	1	1
C4BPA	0.012824033691787863	0.14611308510469306	5	0	0.7416885561978204	1	0.75
SLC2A9	0.008687289301497186	1	10	0	0.7375056782660373	1	0.75
ADGRV1	2.6532158084893693e-4	1	6	0	0.7346355632610106	1	1
ST6GAL1	7.945996607114345e-6	2.010385077474949e-6	11	1	0.7291206116326467	1	1
FILIP1L	0.02174344804579619	0.004579266105261516	4	1	0.728596252383727	1	1
MRPS23	0.008362814459159582	0.01989466501030971	3	1	0.7242614926501175	1	1
SPARCL1	2.2602114196894606e-4	0.012317930707026544	10	1	0.723185111113225	1	1
ANO1	0.021898140456927166	0	2	2	0.7115943352307885	1	1
novelGene_LOC113261079_AS	0.03410184355246625	0.017423138688344355	3	1	-0.7108500344604227	1	1
SERPINA3	0.020012158320772612	0.019329570543712423	3	1	-0.7064172408916359	1	0.75
SUGP1	0.002237418787370265	1	6	0	0.70399481565552	1	0.75
NINL	0.0027747631770636224	1	5	0	0.6998199261895779	1	1
DIP2B	0.04101865553065059	0.019148341332909918	4	1	0.6996641205993233	1	1
COL15A1	0.02150132065995979	0.010070504420349827	9	1	0.6980441592230568	1	0.75
BDH1	0.03375036718174975	0.017414266175944236	4	1	-0.6975638774858399	1	0.75
ACTG2	0.02394082891579485	0.009983420045841598	3	2	0.6956799274600497	1	1
CDPF1	0.04904886817262385	0.427577242835859	4	0	0.6951162934883846	1	0.75
TPM4	6.391796935939741e-7	1.842635626669975e-8	3	2	0.6902247440689029	1	1
S1PR1	0.010908507196416685	0.0017168137464955947	4	1	0.6896491443192284	1	1
ZBED6CL	0.01362844557181266	0.057545735563568026	6	0	-0.6842820225941312	1	1
AOC2	0.03432632323927974	0	2	2	0.6838168218093243	1	1
CCDC138	0.012824033691787863	0.023901703923282065	7	1	0.6837144729766299	1	1
TUBA8	0.02324768042716985	1	4	0	0.683514469777122	1	1
LMTK2	7.755553725888283e-4	2.4044461771637186e-5	3	2	0.6799648946115692	1	1
CEP44	0.04641124822741608	0.006848851706549935	6	1	0.6793154461389642	1	1
LOC113253457	0.005480677898306007	1	8	0	-0.6755173939525516	1	0.75
