gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Kidney_cortex-Small Intestine)	pct_gene_expr	max_pct_tx_expr
CSGALNACT1	2.4447208897264254e-4	0	2	2	-0.9807521263961508	1	1
METTL7A	0.006840789597783749	1	3	0	0.9075750175420872	1	0.5
ZNF365	0.001226727395460316	1	5	0	0.8818625935036375	1	0.75
CHD7	8.38266383951606e-4	7.911309623707994e-5	4	1	0.8706312507413119	1	1
LOC113248522	0.018265197565125797	0.04210878296008866	3	1	0.8660251149513635	1	0.75
MAP2K7	0.008867442127610592	0	2	2	0.8656285534563338	1	0.75
CUNH20orf194	0.006658771651672577	0	2	2	0.8515028025599979	1	0.75
ROS1	1.7106782899390033e-4	2.1113177226992517e-6	3	2	0.8500126534894303	1	1
CHST3	0.013919224146791292	0.004031864983286512	6	1	0.8420633170293345	1	0.75
KNG1	2.9137229275131e-5	1.0184716780999764e-6	7	1	-0.8401543014690632	1	1
SLC23A1	0.0019206819260399921	9.684595653017957e-5	4	1	0.8256594278396819	1	1
LRRK1	0.007560842601456078	0.012313297618413965	4	1	0.8165538133484515	1	1
CCDC136	0.007839658485872432	1	4	0	0.8096664969373922	1	0.75
GAREM1	0.03901764005935068	0	2	2	0.7910302635463803	1	0.75
FMNL1	0.01491623093676274	0.04538413235832738	4	1	0.7871735798655226	1	1
GSE1	0.030822582694840863	0.03922274334450022	3	1	0.781893753365016	1	0.75
CUNH19orf12	0.0015862970813355732	1	4	0	0.7735271288022583	1	0.75
TMEM268	0.00802839892979419	0.0018868786979142427	4	1	0.7719625590911139	1	1
POLH	0.025651962902655343	0.05456959822056711	5	0	0.7618313442413696	1	0.75
CD109	0.013919224146791292	0.001140700070102548	3	2	0.7571349176394194	1	0.75
APOH	0.0029888896572046915	0.006069277661146188	4	1	-0.7542939244899226	1	1
IGSF3	0.0019172117226068808	0.001862168796949154	3	1	0.7290113001279047	1	1
PDHX	2.1184265494522813e-4	6.074194062238083e-8	10	1	0.7210308189922048	1	1
PRKACB	0.04939052565254935	0.03739886690651149	4	1	0.7200487286641845	1	0.75
HS1BP3	0.011161600501692168	0.039545211231794906	5	1	0.7192541158407454	1	1
JCHAIN	0.0010108587776837623	2.216040540773556e-4	3	1	-0.7116534145179125	1	1
TRIP10	0.003931088255564383	0.014874905986127108	6	1	0.7061630966323553	1	1
LYSMD4	0.025651962902655343	0.07793187334827109	3	0	0.7061622186730226	1	1
FAH	0.02312579596569815	1	8	0	0.7040425354967716	1	1
CRLF3	3.579565374346333e-4	1	6	0	0.7002804307793205	1	0.75
ZNF484	0.004220667045077464	0.0783445437270774	5	0	0.6956972114931994	1	1
ZNF214	0.0408449192524152	0.1626736947645143	3	0	-0.6933385119789026	1	0.75
LGALS9	0.007585835276617826	0.005658142759268446	3	1	0.6834295707568763	1	1
PXYLP1	0.004686905896128672	0.011552098085953998	6	1	0.6829003672033642	1	1
NR2C2	0.005972365728945267	0.2908895501005319	3	0	0.6793772547650984	1	1
LOC113244018	4.402262060074463e-5	7.723244559620518e-5	3	2	-0.6792085888599452	1	1
PRELID2	0.018965596762785898	0.01969013254272375	6	1	0.669433302166115	1	0.75
YWHAH	0.023832268537650192	0	2	2	-0.6561872812241896	1	1
CA12	8.959598686010037e-11	7.668804972920893e-5	5	1	-0.6529759268783845	1	1
FAM129A	0.013998752106388885	0	2	2	-0.6493789507418116	1	1
MRLN	7.805472215414947e-4	1	8	0	-0.6483870470200984	1	1
UBE3C	0.028300874092180642	0	2	2	0.6478135677704484	1	1
CEP162	0.005145395118793637	0.021315176629968256	4	1	0.6469006838295132	1	1
XRN2	0.004502118006785736	0.010166785650163976	5	1	0.646688783801932	1	1
LOC113250773	0.0408449192524152	1	6	0	0.6437450949173027	1	0.75
EDN3	0.013018135550383081	0.07551966969373948	3	0	0.6117256105002384	1	1
STK38L	0.01690632514929657	0.27113877070012815	5	0	0.6055958979111128	1	1
GNPTAB	0.02110085590578488	0.16224513151508982	8	0	0.596510787142528	1	1
FMO2	0.005842524857268806	0.8517254138426547	6	0	-0.5953742693891987	1	1
JADE2	2.254317234617789e-6	1.4354634964184857e-5	10	1	0.5951907590316793	1	1
LOC113265231	0.005162749524919143	0.15620039310814174	6	0	0.5951663029004931	1	1
FAM219A	3.579565374346333e-4	0.11091033542513276	4	0	0.5950449083364105	1	0.75
BHMT	0.02110085590578488	0.2337168727372469	4	0	0.5930934477941838	1	1
SCAMP4	0.039083646897449066	0.02483744458269626	5	1	0.5930233674315697	1	1
ARID1A	0.01197268511424471	0	2	2	0.5910878401359384	1	1
HIVEP3	0.0025231756016354905	0.006458780832820267	4	1	-0.5910491959496508	1	1
COBL	9.93680701176886e-4	0.007734274576273843	10	1	0.5896622233879184	1	1
ZMIZ1	7.805472215414947e-4	0.40037388966304094	6	0	0.5841088470996393	1	1
PATL1	0.005162749524919143	1	7	0	0.583540395237905	1	1
MAN2C1	0.010319467198378817	0.05484231888923688	10	0	0.5805177569285457	1	1
ASB9	0.03794506642770414	1	5	0	0.5782958250082069	1	1
PLCB4	0.0424978311015928	1	8	0	0.5737434370252831	1	0.75
LOC113249536	0.017131243555467628	0.0026842267989581033	3	2	0.5729717086831825	1	1
LOC113244742	0.008867442127610592	0.09826376106304432	6	0	-0.5720398934116994	1	1
STK4	0.02455425599171074	0.0798432030437217	6	0	0.5663041465069888	1	1
ADCK1	0.01690632514929657	0.03393684085484075	4	1	0.5658991544390216	1	1
KIAA1614	6.554793965298458e-4	0.5009478688435623	6	0	-0.5636729993457252	1	1
LDLRAD3	0.03371968192889415	0.055758692206641015	5	0	0.562711992931009	1	1
LOC113255248	0.028300874092180642	1	3	0	0.5569183143321598	1	1
RC3H2	0.002046817908073298	8.711820434090405e-4	3	1	0.5515546376780294	1	1
LOC113259624	0.001226727395460316	1	7	0	-0.5509255396084709	1	0.5
PARP14	0.007560842601456078	0.0052007739830279	4	1	-0.5508551630827918	1	1
DHX32	0.005215036873353289	1	4	0	0.545762817824115	1	1
CAMKK2	0.043941028803738416	0.11667449150856277	11	0	0.5455623368410171	1	1
VEPH1	2.9137229275131e-5	0.050322790508457796	8	0	-0.5442688188389728	1	1
ABLIM1	0.001108264033373228	5.044899388148843e-4	6	2	0.541209092618139	1	1
SMIM14	0.002749338299350252	1.7438677463924296e-5	9	1	0.5395730290147958	1	1
MMD	0.008722025326716176	0.0023180066699142157	9	1	0.53947762195991	1	1
KCNK5	4.402262060074463e-5	0.5758926360026475	4	0	0.5367887176732175	1	1
SPOPL	0.04420241131910959	0	2	2	0.5328457515295668	1	1
DHRS3	4.273867600251383e-4	0.059775267396257714	7	0	-0.523700112454865	1	1
RNF114	0.02973891226679865	0.028529430845490675	4	1	0.5147298819044047	1	1
KIF3A	0.02055134701142674	0.8406907367320499	3	0	0.5138806815738236	1	1
TPM1	0.006513732955945388	0.10862280034352914	12	0	-0.5051783950121697	1	1
KSR1	0.01000537775869645	0.2096811134771269	8	0	0.50367586453791	1	1
TMEM41B	0.022759390543380005	0.895712817404276	7	0	0.5024742736611444	1	1
USP3	2.4447208897264254e-4	0.0020652428131145593	10	1	0.4952885502155553	1	1
BCL6	6.554793965298458e-4	1	6	0	0.48343073265515085	1	1
