gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Liver-Gall Bladder)	pct_gene_expr	max_pct_tx_expr
KIAA0355	1.2621907737504733e-11	4.249634126128627e-4	4	2	0.9424258604442671	1	1
KYNU	0.004574968348314174	1	3	0	0.9254808901518264	1	0.5
HSD17B13	4.950307181636404e-12	2.5800594886509292e-5	4	2	0.9212028796201045	1	1
SERPINF2	0.016217962374880053	0.03869034229872673	3	1	0.9115972848923526	1	1
EIF2AK4	2.8346244468847207e-6	3.9716016842044944e-8	4	3	0.9087975992488262	1	0.75
FAXC	0.01776130450662892	0.0018270921398348434	3	1	0.8915583892332511	1	0.75
NMB	0.04212313491716377	1	4	0	0.8811005208800669	1	0.75
FGB	7.60402780346495e-11	5.565792252820264e-12	4	1	-0.8774299510107617	1	1
ARHGAP30	1.554297687480312e-4	1	3	0	0.8536886536178178	1	0.75
ST6GAL1	1.1498052389996727e-10	4.894975021150838e-11	9	1	0.8464515302343615	1	1
ZNF365	0.0038360991507576875	1	5	0	0.8454022013464502	1	0.75
FAM200A	0.01792418939721352	1	3	0	0.8409084396276824	1	0.75
NLRC5	0.015032446038521493	0.003213698970224299	3	1	-0.8361123398100381	1	0.75
PRRT1	0.010987046353798234	1	4	0	0.8359129168315806	1	0.75
BHMT	3.629628790129514e-14	1.5519694008264263e-8	4	2	0.8357580876401097	1	1
LOC113249318	1.892538112237652e-6	9.217388650881753e-8	3	2	0.829568396321263	1	1
SLC10A1	0.0041232853980485654	0.005043685876999285	4	1	0.8263844292466316	1	1
ZCCHC10	8.500180529401249e-4	0.31969971530841945	3	0	0.8259124189803123	1	0.75
RUVBL2	0.001647349460124897	1.8078361768724554e-4	3	2	0.8236164235696182	1	1
PRKCD	0.007092580820955157	0.001633161098544149	3	1	-0.822638221844802	1	1
ACTG2	7.68927252348718e-31	4.332392068422638e-34	3	2	0.8222599513439557	1	1
ABCC2	4.348844830962162e-16	9.497773995417663e-18	5	2	-0.8189377035762359	1	1
UVSSA	3.2831069933641067e-4	9.770748895322193e-6	7	1	0.8180053670380636	1	1
ERN1	0.006050334975027018	0	2	2	-0.8157806639843778	1	1
PARP16	0.006479026398922251	1	3	0	0.8151601435859185	1	0.5
TAF1A	1.9019671265771437e-4	1	3	0	0.8076690684594279	1	1
STARD3	0.007306658379476036	0.002487106196058487	5	1	0.8068896092698868	1	1
FBXL12	0.014812691330627823	0.008495100424544513	3	1	0.8061216638520671	1	0.75
MAD2L1BP	0.0062876837613597015	0.6215863605040411	5	0	0.8055300213991786	1	0.75
E4F1	0.011758462648002028	0.0015233273957281147	5	1	0.8041357821017923	1	0.75
PON1	0.02859494612971347	0.5198259773360948	4	0	0.8038156508946932	1	1
R3HDM1	0.01673253972700465	0.0012553748057609984	7	1	0.803508772187765	1	1
CLEC1A	0.018882954848957443	0.004377107301331707	3	1	0.8030772992403774	1	0.75
CTBP2	0.0015973642717395866	2.79198986907418e-4	6	1	0.7991821835023426	1	1
MINDY3	0.020466605893410587	0.007676342315283024	7	1	0.7963576876788957	1	0.75
HPX	1.6800599207819443e-7	2.426734838936538e-7	4	1	-0.7918882672984373	1	1
EXO5	0.002214474973773914	0.006805538244771972	3	1	0.791248887899914	1	1
SPSB1	0.01322214408864159	0	2	2	0.7907981110406902	1	1
OCRL	0.00550220565912021	2.310044544676871e-4	3	2	-0.7873916112316054	1	0.75
IFT74	0.0062034151347695144	1	3	0	-0.7868365599198066	1	0.75
EVA1A	4.72049234180672e-4	5.929504452226205e-5	4	1	-0.778279634377806	1	1
TET1	0.027661907396432723	0	2	2	-0.7757566758039443	1	1
MOCOS	0.035483434421321826	0.021848474651153877	3	1	0.7716653620058531	1	0.75
CLCN5	0.0230292316851782	0.1959568845443316	3	0	-0.7683998373556641	1	0.75
GGT7	0.011080944612113827	1	4	0	0.7656203777996892	1	0.75
SMARCAD1	0.006091712944052349	0.08365204015886092	5	0	0.7617265183608636	1	0.75
MTM1	0.0010049398159486056	0.11020021220759289	5	0	0.7605063042755114	1	0.75
STAB2	2.3423654175696906e-4	1.7433218963717384e-5	3	2	-0.760172256615061	1	1
AOC2	5.470914287000764e-7	0	2	2	0.7557745514623387	1	1
POMK	2.7225708574120605e-4	1.4798675981255702e-4	7	1	0.7546214821894534	1	1
MOB2	2.454795584434471e-4	1.448463518183104e-4	5	1	0.75407722693902	1	1
OPLAH	0.002214474973773914	1.600260436067265e-5	4	1	0.7538225808172275	1	0.75
SAMD11	0.00872148519760638	0.007418796921958913	3	1	0.7533881837197974	1	1
C4BPA	4.442820652720273e-5	0.001927661166971082	5	1	0.75327960021484075	1	0.75
LOC113247073	1.701077362092372e-6	1.1196387109168587e-7	10	1	0.7491218459941253	1	1
TFB2M	4.3596148515894055e-9	2.08930756983444e-8	6	1	0.7440018361436471	1	1
LOC113254331_RNPC3	0.011264760623119098	0.5982176062224835	4	0	0.7422696354105094	1	1
ETV3	0.011115030575237975	0.01280707885516549	3	1	0.7382285932422226	1	0.75
PDZRN3	0.01890511481264763	0	2	2	0.738052078097304	1	0.75
SERPINC1	2.703980445018953e-15	0	2	2	0.7349632893089945	1	1
HGD	0.03378415488681116	1	8	0	-0.7333003488867371	1	0.75
SLC26A6	0.048739565835321144	0.13106983628975494	6	0	0.7332532913815848	1	1
EML4	0.048355395814546086	0	2	2	0.7321466700564657	1	1
PLEKHA4	0.0033908867859120573	8.786016900074272e-4	6	1	0.7289801393214959	1	1
GATAD1	0.036968610872621016	0.02661244122084234	3	1	0.7265424353068684	1	0.75
