Orthogroup	ursMar.longCDS.prots	homSap.longCDS.prots
OG0000000	rna31143	ENST00000620438.1
OG0000000	rna13959	ENST00000377777.5
OG0000000	rna13977	ENST00000606613.1
OG0000000	rna14132, rna13965	ENST00000634910.1
OG0000000	rna13979	ENST00000356530.5
OG0000000	rna13960	ENST00000377401.3
OG0000000	rna14043	ENST00000607124.1
OG0000000	rna14135	ENST00000356950.1
OG0000000	rna17073	ENST00000369155.3
OG0000001	rna14140	ENST00000613174.1
OG0000001	rna14044	ENST00000359193.3
OG0000001	rna17076	ENST00000607355.2, ENST00000369159.2
OG0000001	rna31145	ENST00000366695.3
OG0000001	rna14131	ENST00000377459.2
OG0000001	rna13927	ENST00000297012.4
OG0000001	rna29797	ENST00000544848.2
OG0000001	rna17071	ENST00000331128.4
OG0000001	rna13941	ENST00000303910.4
OG0000001	rna13944	ENST00000341023.1
OG0000004	rna34708, rna34710	ENST00000358433.2
OG0000004	rna35068, rna36031	ENST00000327335.4
OG0000004	rna36033, rna11496	ENST00000328314.3
OG0000004	rna11497, rna33550, rna33551	ENST00000379665.2
OG0000004	rna34712	ENST00000322678.1, ENST00000548615.1, ENST00000343870.4
OG0000004	rna11498, rna34721	ENST00000343399.3
OG0000004	rna36035	ENST00000379668.3
OG0000004	rna36034, rna33118, rna36036, rna33062	ENST00000379667.1
OG0000005	rna27074, rna27072	ENST00000330722.6, ENST00000252252.3, ENST00000252250.6
OG0000005	rna27075	ENST00000252242.8
OG0000005	rna27082	ENST00000252244.3
OG0000005	rna27083	ENST00000341809.7
OG0000005	rna27081	ENST00000309680.3
OG0000005	rna27087	ENST00000417996.2
OG0000005	rna27086	ENST00000332411.2
OG0000005	rna27089	ENST00000330553.5
OG0000005	rna27080	ENST00000305748.7
OG0000005	rna27076	ENST00000267119.5
OG0000005	rna27078	ENST00000549343.5
OG0000005	rna27079	ENST00000537672.6
OG0000005	rna27088	ENST00000551956.1
OG0000005	rna27071	ENST00000252245.5
OG0000008	rna31146	ENST00000366696.1
OG0000008	rna13976	ENST00000621411.1, ENST00000613854.1, ENST00000369163.3
OG0000008	rna14961	ENST00000340398.4, ENST00000366816.5
OG0000008	rna17079	ENST00000331491.1, ENST00000369158.1
OG0000009	rna12287	ENST00000239449.6
OG0000009	rna12298	ENST00000194155.6
OG0000009	rna12288	ENST00000316105.6, ENST00000239446.5
OG0000009	rna12292	ENST00000231137.5
OG0000009	rna12276	ENST00000354757.4, ENST00000239450.4
OG0000009	rna12296	ENST00000194152.3
OG0000009	rna12295	ENST00000231134.7
OG0000009	rna12294	ENST00000231136.3
OG0000009	rna12284, rna12285, rna12297, rna12291	ENST00000231173.5
OG0000009	rna12290	ENST00000341948.6, ENST00000239444.3, ENST00000609684.2
OG0000010	rna15116	ENST00000331925.6
OG0000010	rna10087	ENST00000224784.10
OG0000010	rna21985	ENST00000345517.7
OG0000010	rna12158	ENST00000423391.2
OG0000011	rna2734	ENST00000336596.6
OG0000011	rna23628	ENST00000622150.4
OG0000011	rna15926	ENST00000166244.7
OG0000011	rna27479	ENST00000369303.8
OG0000011	rna16024	ENST00000358432.7
OG0000011	rna20231	ENST00000358173.7
OG0000011	rna15920	ENST00000400191.7
OG0000011	rna3219	ENST00000398015.7
OG0000011	rna27723	ENST00000330394.2
OG0000011	rna11074	ENST00000281821.6
OG0000011	rna10128	ENST00000389672.9
OG0000012	rna8361, rna35637, rna35635, rna35638, rna8358, rna35629, rna35630, rna8357, rna35631, rna35633, rna35632, rna35636, rna35634, rna8360, rna8359, rna8363	ENST00000354597.3, ENST00000375013.2
OG0000012	rna35639, rna35647, rna35646, rna35645, rna35644	ENST00000341493.3
OG0000012	rna8368	ENST00000328064.2
OG0000012	rna8370	ENST00000306842.2
OG0000013	rna12267	ENST00000617380.1, ENST00000519479.1
OG0000013	rna12269	ENST00000576222.1
OG0000013	rna12265	ENST00000522605.1
OG0000013	rna12266	ENST00000520790.1
OG0000013	rna12264	ENST00000252085.3
OG0000013	rna12271	ENST00000517417.2
OG0000013	rna12270	ENST00000518069.1
OG0000013	rna12262	ENST00000398610.2
OG0000014	rna21258	ENST00000217133.1
OG0000014	rna13874	ENST00000327892.12
OG0000015	rna34916	ENST00000339282.11
OG0000015	rna34917	ENST00000598753.1, ENST00000435033.1, ENST00000547473.1, ENST00000430024.5, ENST00000543802.2, ENST00000323169.9
OG0000015	rna30920	ENST00000622593.4, ENST00000590798.1, ENST00000343949.9, ENST00000429654.6, ENST00000304060.9, ENST00000304030.2, ENST00000439326.7, ENST00000547628.1, ENST00000344980.10, ENST00000439556.2, ENST00000334213.9, ENST00000242804.8, ENST00000293725.9, ENST00000356109.9, ENST00000301547.9, ENST00000430385.3, ENST00000595562.1, ENST00000357901.4, ENST00000341191.10, ENST00000343979.5, ENST00000361113.9
OG0000017	rna14047	ENST00000578186.2, ENST00000244537.5, ENST00000615164.2, ENST00000615353.1, ENST00000634956.1
OG0000017	rna17080, rna29792, rna13962	ENST00000614247.1
OG0000018	rna33298, rna32863, rna33290, rna33297, rna33296, rna32870, rna33289, rna32909, rna32906, rna32902, rna32901, rna32864	ENST00000317996.1, ENST00000318021.3, ENST00000319968.4
OG0000019	rna32549, rna32547, rna33770	ENST00000316987.3
OG0000019	rna32546	ENST00000610445.1
OG0000019	rna33764, rna33767	ENST00000321522.2
OG0000019	rna33769, rna33757, rna33765	ENST00000445557.1
OG0000019	rna32554, rna32550, rna32551, rna32552	ENST00000379946.2, ENST00000537935.1
OG0000020	rna15377	ENST00000302572.2
OG0000020	rna15372	ENST00000302581.2
OG0000020	rna15369, rna15370	ENST00000357377.3
OG0000020	rna15374, rna15375, rna15371	ENST00000309403.2
OG0000021	rna30780	ENST00000374781.2
OG0000021	rna30779	ENST00000277216.3
OG0000021	rna30657, rna30656, rna32669, rna16492	ENST00000341959.2
OG0000021	rna30659, rna30658	ENST00000424348.1
OG0000021	rna30785, rna30781	ENST00000335040.1
OG0000022	rna23731	ENST00000339986.7, ENST00000465049.6, ENST00000456806.2, ENST00000355095.8, ENST00000590202.2
OG0000022	rna4317, rna23716, rna23713, rna23718, rna23722, rna23720, rna23730	ENST00000600810.1, ENST00000311015.7
OG0000023	gene26562, gene26560	ENST00000390285.4, ENST00000390297.3, ENST00000390294.2, ENST00000390301.3, ENST00000390290.3, ENST00000390299.2, ENST00000390291.2
OG0000024	rna23003	ENST00000335238.4
OG0000024	rna23008, rna23012, rna23014	ENST00000319813.3
OG0000024	rna22986, rna22979	ENST00000314644.2
OG0000024	rna23002, rna22965, rna15204, rna15222, rna15212, rna15217, rna15224, rna15203, rna15226	ENST00000328188.1, ENST00000555099.1
OG0000025	gene19081	ENST00000443402.6, ENST00000436911.6
OG0000026	rna18740	ENST00000261383.3
OG0000026	rna26051	ENST00000420323.6
OG0000026	rna6197	ENST00000620169.4
OG0000026	rna15050	ENST00000389840.6
OG0000026	rna8247	ENST00000262442.8
OG0000026	rna22059	ENST00000389394.7
OG0000026	rna1701	ENST00000430092.5
OG0000026	rna7337	ENST00000312428.10
OG0000026	rna25967	ENST00000495027.5
OG0000027	rna32565, rna32568, rna32564, rna32563	ENST00000317254.3
OG0000027	rna32559	ENST00000317093.2
OG0000027	rna32558	ENST00000317078.1
OG0000027	rna32557, rna32556, rna32555	ENST00000317037.2
OG0000028	rna23331	ENST00000246635.7
OG0000028	rna23332	ENST00000254043.7
OG0000028	rna23334	ENST00000246662.8
OG0000028	rna1053	ENST00000269576.5
OG0000028	rna23336	ENST00000311208.12
OG0000028	rna23335	ENST00000167586.6
OG0000029	rna26929, rna26934, rna26931, rna26932, rna26936, rna26933, rna26928, rna26935, rna26926, rna26927, rna33120	ENST00000310194.1
OG0000030	rna33278, rna32633, rna32630, rna33276, rna34706	ENST00000380367.1
OG0000030	rna33280, rna33796, rna33277, rna33279	ENST00000307388.1
