Orthogroup	homSap.longCDS.prots	ursAme.longCDS.prots
OG0000000	ENST00000620438.1	transcript_ENSUAMT00000019106
OG0000000	ENST00000606613.1	transcript_ENSUAMT00000016033
OG0000000	ENST00000314332.5, ENST00000634910.1	transcript_ENSUAMT00000023255
OG0000000	ENST00000356530.5	transcript_ENSUAMT00000015946
OG0000000	ENST00000377733.3	transcript_ENSUAMT00000037815
OG0000000	ENST00000377401.3	transcript_ENSUAMT00000007162
OG0000000	ENST00000607124.1	transcript_ENSUAMT00000037774
OG0000000	ENST00000356950.1, ENST00000464664.3, ENST00000599962.1	transcript_ENSUAMT00000007414
OG0000000	ENST00000369155.3	transcript_ENSUAMT00000032553
OG0000000	ENST00000619466.2, ENST00000545683.1	transcript_ENSUAMT00000032589
OG0000001	ENST00000613174.1, ENST00000618958.1	transcript_ENSUAMT00000007156, transcript_ENSUAMT00000007424
OG0000001	ENST00000358739.4	transcript_ENSUAMT00000015929
OG0000001	ENST00000607355.2, ENST00000369159.2	transcript_ENSUAMT00000032586
OG0000001	ENST00000377791.3	transcript_ENSUAMT00000023253
OG0000001	ENST00000366695.3	transcript_ENSUAMT00000019173
OG0000001	ENST00000297012.4	transcript_ENSUAMT00000024894
OG0000001	ENST00000544848.2	transcript_ENSUAMT00000003994
OG0000001	ENST00000331380.3	transcript_ENSUAMT00000032577, transcript_ENSUAMT00000037813
OG0000001	ENST00000331128.4	transcript_ENSUAMT00000032539
OG0000001	ENST00000333151.4	transcript_ENSUAMT00000023300
OG0000004	ENST00000358433.2	transcript_ENSUAMT00000031540
OG0000005	ENST00000330722.6, ENST00000252252.3, ENST00000252250.6	transcript_ENSUAMT00000033482, transcript_ENSUAMT00000033458
OG0000005	ENST00000252242.8	transcript_ENSUAMT00000033443
OG0000005	ENST00000252244.3	transcript_ENSUAMT00000033412
OG0000005	ENST00000341809.7	transcript_ENSUAMT00000033409
OG0000005	ENST00000309680.3	transcript_ENSUAMT00000033416
OG0000005	ENST00000417996.2	transcript_ENSUAMT00000023409
OG0000005	ENST00000330553.5	transcript_ENSUAMT00000023405
OG0000005	ENST00000305748.7	transcript_ENSUAMT00000033418
OG0000005	ENST00000267119.5	transcript_ENSUAMT00000033436
OG0000005	ENST00000549343.5	transcript_ENSUAMT00000033430
OG0000005	ENST00000537672.6	transcript_ENSUAMT00000033423
OG0000005	ENST00000551956.1	transcript_ENSUAMT00000023408
OG0000005	ENST00000252245.5	transcript_ENSUAMT00000033486
OG0000007	ENST00000632950.2, ENST00000390626.2, ENST00000624687.1, ENST00000390633.2, ENST00000390594.3, ENST00000630556.1, ENST00000604066.1, ENST00000390605.2, ENST00000390639.2, ENST00000631943.1, ENST00000390621.3, ENST00000390628.3, ENST00000390595.3, ENST00000622028.1, ENST00000338912.5, ENST00000390622.2, ENST00000632209.1, ENST00000390610.2	transcript_ENSUAMT00000001809, transcript_ENSUAMT00000000768, transcript_ENSUAMT00000036507, transcript_ENSUAMT00000007520
OG0000008	ENST00000366696.1	transcript_ENSUAMT00000007148
OG0000008	ENST00000369163.3	transcript_ENSUAMT00000006934
OG0000008	ENST00000612966.1, ENST00000634733.1, ENST00000614378.1, ENST00000618052.1	transcript_ENSUAMT00000023305
OG0000008	ENST00000403683.1	transcript_ENSUAMT00000032588
OG0000008	ENST00000340398.4	transcript_ENSUAMT00000028299
OG0000009	ENST00000239449.6	transcript_ENSUAMT00000000264
OG0000009	ENST00000194155.6	transcript_ENSUAMT00000038691
OG0000009	ENST00000231134.7	transcript_ENSUAMT00000000091
OG0000009	ENST00000231136.3	transcript_ENSUAMT00000000106
OG0000009	ENST00000231130.3	transcript_ENSUAMT00000038694
OG0000009	ENST00000341948.6, ENST00000239444.3, ENST00000609684.2	transcript_ENSUAMT00000000212
OG0000010	ENST00000331925.6	transcript_ENSUAMT00000024025
OG0000010	ENST00000224784.10	transcript_ENSUAMT00000020237
OG0000010	ENST00000345517.7	transcript_ENSUAMT00000026542
OG0000010	ENST00000366684.7	transcript_ENSUAMT00000021369
OG0000010	ENST00000290378.4	transcript_ENSUAMT00000005433
OG0000011	ENST00000336596.6	transcript_ENSUAMT00000026388
OG0000011	ENST00000166244.7	transcript_ENSUAMT00000029313
OG0000011	ENST00000369303.8	transcript_ENSUAMT00000010101
OG0000011	ENST00000358432.7	transcript_ENSUAMT00000020782
OG0000011	ENST00000358173.7	transcript_ENSUAMT00000041262
OG0000011	ENST00000398015.7	transcript_ENSUAMT00000033609
OG0000011	ENST00000330394.2	transcript_ENSUAMT00000027468
OG0000011	ENST00000281821.6	transcript_ENSUAMT00000040423
OG0000011	ENST00000389672.9	transcript_ENSUAMT00000005777
